[2026-08-08 03:21:58] [ep 205] terminal_score=0.1793
[2026-08-08 03:21:58] [ep 206] terminal_score=0.1793
[2026-08-08 03:21:59] [ep 207] terminal_score=0.1793
[2026-08-08 03:21:59] [ep 208] terminal_score=0.1793
[2026-08-08 03:21:59] [ep 209] terminal_score=0.1793
[2026-08-08 03:21:59] [ep 210] terminal_score=0.1793
[2026-08-08 03:22:00] [ep 211] terminal_score=0.1793
[2026-08-08 03:22:00] [ep 212] terminal_score=0.1793
[2026-08-08 03:22:00] [ep 213] terminal_score=0.1793
[2026-08-08 03:22:00] [ep 214] terminal_score=0.1793
[2026-08-08 03:22:00] [ep 215] terminal_score=0.1793
[2026-08-08 03:22:01] [ep 216] terminal_score=0.1793
[2026-08-08 03:22:01] [ep 217] terminal_score=0.1793
[2026-08-08 03:22:01] [ep 218] terminal_score=0.1793
[2026-08-08 03:22:01] [ep 219] terminal_score=0.1793
[2026-08-08 03:22:01] [ep 220] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 221] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 222] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 223] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 224] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 225] terminal_score=0.1793
[2026-08-08 03:22:02] [ep 226] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 227] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 228] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 229] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 230] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 231] terminal_score=0.1793
[2026-08-08 03:22:03] [ep 232] terminal_score=0.1793
[2026-08-08 03:22:04] [ep 233] terminal_score=0.1793
[2026-08-08 03:22:04] [ep 234] terminal_score=0.1793
[2026-08-08 03:22:04] [ep 235] terminal_score=0.1793
[2026-08-08 03:22:04] [ep 236] terminal_score=0.1793
[2026-08-08 03:22:04] [ep 237] terminal_score=0.1793
[2026-08-08 03:22:05] [ep 238] terminal_score=0.1793
[2026-08-08 03:22:05] [ep 239] terminal_score=0.1793
[2026-08-08 03:22:05] [ep 240] terminal_score=0.1793
[2026-08-08 03:22:05] [ep 241] terminal_score=0.1793
[2026-08-08 03:22:05] [ep 242] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 243] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 244] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 245] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 246] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 247] terminal_score=0.1793
[2026-08-08 03:22:06] [ep 248] terminal_score=0.1793
[2026-08-08 03:22:07] [ep 249] terminal_score=0.1793
[2026-08-08 03:22:07] [ep 250] terminal_score=0.1793
