[2026-08-08 03:24:35] [ep 190] terminal_score=0.1793
[2026-08-08 03:24:35] [ep 191] terminal_score=0.1793
[2026-08-08 03:24:35] [ep 192] terminal_score=0.1793
[2026-08-08 03:24:35] [ep 193] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 194] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 195] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 196] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 197] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 198] terminal_score=0.1793
[2026-08-08 03:24:36] [ep 199] terminal_score=0.1793
[2026-08-08 03:24:37] [ep 200] terminal_score=0.1793
[2026-08-08 03:24:37] [ep 201] terminal_score=0.1793
[2026-08-08 03:24:37] [ep 202] terminal_score=0.1793
[2026-08-08 03:24:37] [ep 203] terminal_score=0.1793
[2026-08-08 03:24:37] [ep 204] terminal_score=0.1793
[2026-08-08 03:24:38] [ep 205] terminal_score=0.1793
[2026-08-08 03:24:38] [ep 206] terminal_score=0.1793
[2026-08-08 03:24:38] [ep 207] terminal_score=0.1793
[2026-08-08 03:24:38] [ep 208] terminal_score=0.1793
[2026-08-08 03:24:39] [ep 209] terminal_score=0.1793
[2026-08-08 03:24:39] [ep 210] terminal_score=0.1793
[2026-08-08 03:24:39] [ep 211] terminal_score=0.1793
[2026-08-08 03:24:39] [ep 212] terminal_score=0.1793
[2026-08-08 03:24:39] [ep 213] terminal_score=0.1793
[2026-08-08 03:24:40] [ep 214] terminal_score=0.1793
[2026-08-08 03:24:40] [ep 215] terminal_score=0.1793
[2026-08-08 03:24:40] [ep 216] terminal_score=0.1793
[2026-08-08 03:24:40] [ep 217] terminal_score=0.1793
[2026-08-08 03:24:41] [ep 218] terminal_score=0.1793
[2026-08-08 03:24:41] [ep 219] terminal_score=0.1793
[2026-08-08 03:24:41] [ep 220] terminal_score=0.1793
[2026-08-08 03:24:41] [ep 221] terminal_score=0.1793
[2026-08-08 03:24:41] [ep 222] terminal_score=0.1793
[2026-08-08 03:24:42] [ep 223] terminal_score=0.1793
[2026-08-08 03:24:42] [ep 224] terminal_score=0.1793
[2026-08-08 03:24:42] [ep 225] terminal_score=0.1793
[2026-08-08 03:24:42] [ep 226] terminal_score=0.1793
[2026-08-08 03:24:43] [ep 227] terminal_score=0.1793
[2026-08-08 03:24:43] [ep 228] terminal_score=0.1793
[2026-08-08 03:24:43] [ep 229] terminal_score=0.1793
[2026-08-08 03:24:43] [ep 230] terminal_score=0.1793
[2026-08-08 03:24:43] [ep 231] terminal_score=0.1793
[2026-08-08 03:24:44] [ep 232] terminal_score=0.1793
[2026-08-08 03:24:44] [ep 233] terminal_score=0.1793
[2026-08-08 03:24:44] [ep 234] terminal_score=0.1793
[2026-08-08 03:24:44] [ep 235] terminal_score=0.1793
[2026-08-08 03:24:44] [ep 236] terminal_score=0.1793
[2026-08-08 03:24:45] [ep 237] terminal_score=0.1793
[2026-08-08 03:24:45] [ep 238] terminal_score=0.1793
[2026-08-08 03:24:45] [ep 239] terminal_score=0.1793
[2026-08-08 03:24:45] [ep 240] terminal_score=0.1793
[2026-08-08 03:24:46] [ep 241] terminal_score=0.1793
[2026-08-08 03:24:46] [ep 242] terminal_score=0.1793
[2026-08-08 03:24:46] [ep 243] terminal_score=0.1793
[2026-08-08 03:24:46] [ep 244] terminal_score=0.1793
[2026-08-08 03:24:46] [ep 245] terminal_score=0.1793
[2026-08-08 03:24:47] [ep 246] terminal_score=0.1793
[2026-08-08 03:24:47] [ep 247] terminal_score=0.1793
[2026-08-08 03:24:47] [ep 248] terminal_score=0.1793
[2026-08-08 03:24:47] [ep 249] terminal_score=0.1793
[2026-08-08 03:24:47] [ep 250] terminal_score=0.1793
